member_id,name,profile_url,source_url,url_slug,honorific,page_title,biography,looking_for,crawl_status,crawl_error,crawled_at
mem_3a1d20823e,Richa Pandey,https://profiles.ucalgary.ca/richa-pandey,https://profiles.ucalgary.ca/richa-pandey,richa-pandey,Dr.,Richa Pandey | UCalgary Profiles | University of Calgary,"Biography Dr. Pandey is an Assistant Professor in the Department of Biomedical Engineering at the University of Calgary, where she primarily teaches and conducts biomedical research. She is also the director of the Wearable and Point-of-Care Technologies Lab, which houses federally funded instruments and highly skilled personnel to develop cutting-edge medical devices. Dr. Pandey is the UCalgary Research Excellence Chair, and she plays a leadership role in advancing interdisciplinary research at the intersection of biology, engineering, and digital health. As a researcher and educator in biomedical engineering, Dr. Pandey’s work focuses on developing innovative, accessible healthcare solutions while also shaping the next generation of engineers and scientists. Her research is dedicated to designing medical technologies that enhance healthcare access, particularly in the area of women’s health. This includes developing wearable devices, rapid diagnostic tools, and screening technologies that address significant health challenges such as perinatal depression, preeclampsia, cervical cancer, and malaria in pregnancy. By integrating technology with real-world healthcare needs, Dr. Pandey’s goal is to develop solutions that are both effective and user-friendly, particularly in low-resource settings. In addition to research, Dr. Pandey is passionate about education and mentorship. As an educator, she guides students in applying engineering principles to medical challenges, helping them build critical thinking and problem-solving skills. She also emphasizes hands-on learning, encouraging students to design and test their biomedical solutions. Dr. Pandey’s lab houses federally and provincially funded students and postdoctoral fellows whom she mentors for their graduate studies and research training. Beyond the classroom, she participates in outreach initiatives that inspire young minds, particularly those from underrepresented groups, to pursue careers in engineering fields. Collaboration is a key part of Dr. Pandey’s work. She partners with clinicians, industry experts, and global health organizations to ensure that her research translates into practical, impactful solutions. By combining research, teaching, and mentorship, Dr. Pandey strives to advance biomedical engineering in ways that make healthcare more inclusive, affordable, and effective for all.",,success,,2026-04-17T22:30:06.476013+00:00
mem_81c06ea20f,Richard Bernard Hawkes,https://profiles.ucalgary.ca/richard-bernard-hawkes,https://profiles.ucalgary.ca/richard-bernard-hawkes,richard-bernard-hawkes,Dr.,Richard Bernard Hawkes | UCalgary Profiles | University of Calgary,"Biography Dr. Hawkes graduated from University College London and completed a Ph.D at the University of Hull. After postdoctoral fellowships at the Hebrew University of Jerusalem, the Institute of Molecular Biology of the University of Oregon and the Friedrich Miescher Institute in Switzerland, he was recruited to Université Laval, funded by the Medical Research Council of Canada, where he set up a research lab to apply then new molecular biology techniques to the development of the cerebellum. Six years later he accepted the role of Head of Cell Biology & Anatomy at the University of Calgary. After ten years as Department Head he spent four years as Associate Dean, Faculty of Graduate Studies, followed by ten years as Senior Associate Dean Research in Medicine, for four of which he also served as Associate Vice President Research for the University. Dr. Hawkes’s research concerns the structure and development of the mammalian cerebellum. His discovery of key patterning markers in the cerebellum – “zebrins” - is the foundation of the modern ""zones-and-stripes"" model of cerebellar organization. These studies of adult cerebellar architecture are the basis for understanding pattern formation during cerebellar development, which included the first identification of the canonical Reelin-Disabled signaling pathway. His collaborative studies of cerebellar development have extended to models of human disease including neuronal death in the childhood disorder Niemann-Pick, dysbindin-dystrobrevin interactions in nervous system correlates of muscular dystrophy, and the identification of a mutation in the ?1A-voltage-sensitive calcium channel gene that defined both novel in vivo roles for the gene in neuronal function and survival, and identified it as a key mammalian epilepsy locus. Finally, he invented and patented the dot immunobinding assay, an immunological technique that is used in labs worldwide and has become a “citation classic”.",,success,,2026-04-17T22:30:08.456334+00:00
mem_2b973efd83,Richard Dyck,https://profiles.ucalgary.ca/richard-dyck,https://profiles.ucalgary.ca/richard-dyck,richard-dyck,Dr.,Richard Dyck | UCalgary Profiles | University of Calgary,"Biography Affiliated with Epilepsy, Mathison Centre for Mental Health, Neurodevelopment and Spinal Cord Nerve Injury and Pain (SCNIP) HBI priority areas",,success,,2026-04-17T22:30:10.401081+00:00
mem_84f207cee7,Richard Frayne,https://profiles.ucalgary.ca/richard-frayne,https://profiles.ucalgary.ca/richard-frayne,richard-frayne,,Richard Frayne | UCalgary Profiles | University of Calgary,"Biography Richard Frayne is a Professor (with tenure) in the Departments of Radiology and Clinical Neuroscience, a member and the Deputy Director of the Hotchkiss Brain Institute ( HBI ), and an associate member of the Libin Cardiovascular Institute ( LCI ), all in the Cumming School of Medicine at the University of Calgary. He directs the Vascular Imaging Laboratory ( VIL ) of the Seaman Family Centre , Foothills Medical Centre, Alberta Health Services and from 2010-7 was the Seaman Family Centre’s Scientific Director. From 2000-2005 he was a Heart and Stroke Foundation of Canada (HSFC) New Investigator, from 2000-2010, he received salary support from the Alberta Heritage Foundation for Medical Research (AHFMR), from 2003-2013, he was a Canada Research Chair in Image Science. In 2010, he was appointed to the Hopewell Professorship in Brain Imaging and in 2021, was elected a Fellow of the Canadian Academy of Health Sciences. Dr Frayne’s research interests are in the development and application of new imaging techniques and tools in humans for the study, detection and treatment of neurovascular disease. His work bridges natural science and engineering through to clinical application. Current specific interests include angiography, perfusion/permeability and quantitative iron imaging in stroke and small vessel disease, and applications of these and other imaging techniques.",I'm looking for... Learning opportunities Please see my laboratory research training page. Study participants Please see my laboratory research volunteer page.,success,,2026-04-17T22:30:12.363287+00:00
mem_c162955191,Richard James Alfred Wilson,https://profiles.ucalgary.ca/richard-james-alfred-wilson,https://profiles.ucalgary.ca/richard-james-alfred-wilson,richard-james-alfred-wilson,Dr.,Richard James Alfred Wilson | UCalgary Profiles | University of Calgary,"Background Educational Background Ph.D Neurobiology, University of Glasgow, Scotland, 1992 B.Sc (Honors) Neurobiology, University of Sussex, United Kingdom, 1989",I'm looking for... Learning opportunities We have opportunities for trainees that share a passion for science and discovery and want to be in the fore front of innovative research. Learning opportunities BRAIN CREATE Neurotechnology Training Program breaks the mould of traditional graduate programs with an individualized trainee program For more information click HERE,success,,2026-04-17T22:30:14.391883+00:00
mem_bdcc331ca3,Richard (Stewart) Longman,https://profiles.ucalgary.ca/richard-stewart-longman,https://profiles.ucalgary.ca/richard-stewart-longman,richard-stewart-longman,Dr.,Richard (Stewart) Longman | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:30:16.521882+00:00
mem_0ba27398f2,Richelle Mychasiuk,https://profiles.ucalgary.ca/richelle-mychasiuk,https://profiles.ucalgary.ca/richelle-mychasiuk,richelle-mychasiuk,,Richelle Mychasiuk | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:30:18.651449+00:00
mem_f082dc6264,Rita Henderson,https://profiles.ucalgary.ca/rita-henderson,https://profiles.ucalgary.ca/rita-henderson,rita-henderson,,Rita Henderson | UCalgary Profiles | University of Calgary,Biography Affiliations: O'Brien Institute for Public Health,,success,,2026-04-17T22:30:20.586137+00:00
mem_0b284f6c80,Robert James Sevick,https://profiles.ucalgary.ca/robert-james-sevick,https://profiles.ucalgary.ca/robert-james-sevick,robert-james-sevick,Dr.,Robert James Sevick | UCalgary Profiles | University of Calgary,"Biography Dr. Rob Sevick obtained his medical degree from the University of Alberta in 1984 and was then a rotating intern at St. Michael’s Hospital at the University of Toronto (1984-85), a resident in diagnostic radiology at the University of Calgary (1985-89) and a fellow in neuroradiology at the University of California, San Francisco (1989-91). Dr. Sevick joined the Department of Radiology of the Cumming School of Medicine, University of Calgary in 1991. A member of the Hotchkiss Brain Institute and Professor with the Departments of Radiology and Clinical Neurosciences, Dr. Sevick served two terms as Head of the University of Calgary’s Department of Radiology and Clinical Department Head for Alberta Health Services (Calgary Zone), from 2006-2016. Dr. Sevick is well known for his contributions to neuroradiology and MR imaging. He has served in a number of leadership roles in radiology and neuroradiology, both locally and nationally, including Chair of the Examination Board in Diagnostic Radiology and Chair of the Committee on Specialties for the Royal College of Physicians and Surgeons of Canada. He has served on the boards of the Canadian Association of Radiologists and Canadian Radiological Foundation and chaired the Canadian Heads of Academic Radiology. Dr. Sevick has been recognized for his contributions to Diagnostic Radiology and Neuroradiology and awarded Fellowships by the American College of Radiology and the Canadian Association of Radiologists. He is a founding member of the Canadian Society of Neuroradiology. Dr. Sevick currently practices Diagnostic Neuroradiology and Interventional Spine Therapy in Calgary. He is the Medical Director of the Seaman Family MR Research Centre.",,success,,2026-04-17T22:30:22.799179+00:00
mem_e5d438a73d,Robert John French,https://profiles.ucalgary.ca/robert-john-french,https://profiles.ucalgary.ca/robert-john-french,robert-john-french,Dr.,Robert John French | UCalgary Profiles | University of Calgary,"Background Educational Background B.Sc.(Hons First Class) Zoology, University of Adelaide, 1966 Doctor of Philosophy Zoophysiology, Washington State University, 1973",,success,,2026-04-17T22:30:25.025146+00:00
mem_4029403411,Roberto Sotero Diaz,https://profiles.ucalgary.ca/roberto-sotero-diaz,https://profiles.ucalgary.ca/roberto-sotero-diaz,roberto-sotero-diaz,,Roberto Sotero Diaz | UCalgary Profiles | University of Calgary,"Background Educational Background B.S. Nuclear Physics, University of Havana, 2003 Doctor of Philosophy Physics, Cuban Neuroscience Centre, 2009",,success,,2026-04-17T22:30:27.221339+00:00
mem_dd9d2855a1,Roberto Souza,https://profiles.ucalgary.ca/roberto-souza,https://profiles.ucalgary.ca/roberto-souza,roberto-souza,Dr.,Roberto Souza | UCalgary Profiles | University of Calgary,"Biography Roberto Souza is an Associate Professor in the Department of Electrical and Software Engineering at the University of Calgary, where he also serves as the Interim Associate Head of Research . Since joining the faculty in 2020, Dr. Souza has established a distinguished research program at the intersection of medical imaging and artificial intelligence and has received funding from several provincial, national, and international funding agencies. His excellence in both domains has been recognized with the Schulich School of Engineering Early Research Excellence Award (2022) and the Teaching Excellence Award (2023) . Before his faculty appointment, he completed a three-year postdoctoral fellowship in the University of Calgary’s Department of Radiology. He holds a B.Sc. in Electrical Engineering from the Federal University of Pará, as well as an M.Sc. and Ph.D. in Computer Engineering from the University of Campinas (UNICAMP). With international experience at the Grenoble Institute of Technology and the University of Pennsylvania, Dr. Souza’s current research focuses on innovative data integration and mining strategies for imaging (stroke, concussion, cancer) and prehospital applications.",,success,,2026-04-17T22:30:29.291630+00:00
